title,year,actor,imdb_rating,imdb_votes,imdb_url
Dr. No,1962,Sean Connery,7.3,138645,https://www.imdb.com/title/tt0055928/
From Russia with Love,1963,Sean Connery,7.4,109986,https://www.imdb.com/title/tt0057076/
Goldfinger,1964,Sean Connery,7.7,163127,https://www.imdb.com/title/tt0058150/
Thunderball,1965,Sean Connery,7.0,98754,https://www.imdb.com/title/tt0059800/
You Only Live Twice,1967,Sean Connery,6.9,91401,https://www.imdb.com/title/tt0062512/
On Her Majesty's Secret Service,1969,George Lazenby,6.7,74720,https://www.imdb.com/title/tt0064757/
Diamonds Are Forever,1971,Sean Connery,6.6,89648,https://www.imdb.com/title/tt0066995/
Live and Let Die,1973,Roger Moore,6.8,90748,https://www.imdb.com/title/tt0070328/
The Man with the Golden Gun,1974,Roger Moore,6.8,89661,https://www.imdb.com/title/tt0071807/
The Spy Who Loved Me,1977,Roger Moore,7.1,92407,https://www.imdb.com/title/tt0076752/
Moonraker,1979,Roger Moore,6.3,85008,https://www.imdb.com/title/tt0079574/
For Your Eyes Only,1981,Roger Moore,6.8,86497,https://www.imdb.com/title/tt0082398/
Octopussy,1983,Roger Moore,6.6,89601,https://www.imdb.com/title/tt0086034/
A View to a Kill,1985,Roger Moore,6.4,82975,https://www.imdb.com/title/tt0090264/
The Living Daylights,1987,Timothy Dalton,6.7,83498,https://www.imdb.com/title/tt0093428/
Licence to Kill,1989,Timothy Dalton,6.6,88941,https://www.imdb.com/title/tt0097742/
GoldenEye,1995,Pierce Brosnan,7.2,228525,https://www.imdb.com/title/tt0113189/
Tomorrow Never Dies,1997,Pierce Brosnan,6.5,173180,https://www.imdb.com/title/tt0120347/
The World is Not Enough,1999,Pierce Brosnan,6.4,180480,https://www.imdb.com/title/tt0143145/
Die Another Day,2002,Pierce Brosnan,6.1,196618,https://www.imdb.com/title/tt0246460/
Casino Royale,2006,Daniel Craig,8.0,554109,https://www.imdb.com/title/tt0381061/
Quantum of Solace,2008,Daniel Craig,6.6,387405,https://www.imdb.com/title/tt0830515/
Skyfall,2012,Daniel Craig,7.7,606733,https://www.imdb.com/title/tt1074638/
Spectre,2015,Daniel Craig,6.8,364916,https://www.imdb.com/title/tt2379713/
No Time to Die,2020,Ana de Armas,,,https://www.imdb.com/title/tt2382320/
